iter	Logloss
0	0.6910571361
1	0.6881951768
2	0.685064312
3	0.6826994165
4	0.6801703654
5	0.6773633614
6	0.6746772002
7	0.6724678075
8	0.6698265485
9	0.6679736164
10	0.6656123548
11	0.663245636
12	0.6616287121
13	0.6597993391
14	0.6575106448
15	0.6554535627
16	0.6533292721
17	0.6502156998
18	0.6477200205
19	0.6455478809
20	0.6437397645
21	0.6416881982
22	0.6388821805
23	0.6378856127
24	0.6358697663
25	0.6339877605
26	0.6326919246
27	0.6306415763
28	0.6286779412
29	0.6273322323
30	0.6255257882
31	0.6236833985
32	0.6219761674
33	0.620250998
34	0.6178543272
35	0.6158553303
36	0.6140197796
37	0.6125233181
38	0.6108067095
39	0.6088048404
40	0.6070274054
41	0.6054703882
42	0.6032819234
43	0.6013639528
44	0.5992246128
45	0.5971693572
46	0.5955912558
47	0.5940990596
48	0.592135997
49	0.5903587768
50	0.5886159191
51	0.5865442684
52	0.5848575247
53	0.5830891089
54	0.5814142635
55	0.5796476749
56	0.5778490344
57	0.576569868
58	0.5748653825
59	0.5733810363
60	0.5721056586
61	0.5703610718
62	0.5690696054
63	0.5678245703
64	0.5672399724
65	0.5655072208
66	0.5638704768
67	0.5621798866
68	0.5607210074
69	0.5596972618
70	0.5579924273
71	0.5564282357
72	0.5552455417
73	0.5535768552
74	0.5524252281
75	0.5511172087
76	0.5496705511
77	0.5484870116
78	0.5472831362
79	0.5461845399
80	0.5452110516
81	0.5438029387
82	0.5421303718
83	0.5409624968
84	0.539532023
85	0.5388542558
86	0.5379954182
87	0.5365240113
88	0.5353538332
89	0.5343105318
90	0.5332703106
91	0.5320014281
92	0.5311415047
93	0.5300785492
94	0.5289551955
95	0.5276713606
96	0.5266331314
97	0.5258105232
98	0.5245445533
99	0.5234872224
100	0.5224825589
101	0.5216255916
102	0.5207216747
103	0.5197132028
104	0.5186991218
105	0.5177711173
106	0.5166331814
107	0.5155365461
108	0.5146194
109	0.5135429363
110	0.5128333026
111	0.5121156696
112	0.5108704459
113	0.5098627522
114	0.5089578761
115	0.5083782344
116	0.5078405488
117	0.5068566693
118	0.5058548327
119	0.5046096768
120	0.503885028
121	0.5032903389
122	0.5022457174
123	0.5011828478
124	0.5005367915
125	0.4999490324
126	0.4990766355
127	0.498379339
128	0.497511499
129	0.4968543015
130	0.4961215807
131	0.4953771382
132	0.4944807545
133	0.4934689395
134	0.4926399541
135	0.4916541913
136	0.4904854479
137	0.4899713911
138	0.4891245243
139	0.4883156046
140	0.4875330164
141	0.4868672886
142	0.4859696812
143	0.4853939004
144	0.484773728
145	0.4837205459
146	0.4832004392
147	0.4822209836
148	0.4815694196
149	0.4808225721
150	0.4800392326
151	0.4794888866
152	0.4788836477
153	0.4780204871
154	0.4774587402
155	0.4767193525
156	0.4761972166
157	0.4757784363
158	0.4749757398
159	0.4741288149
160	0.4733627727
161	0.4729896956
162	0.4722768959
163	0.471503095
164	0.4713274109
165	0.4706079191
166	0.4699181374
167	0.469405967
168	0.4686431228
169	0.4680424886
170	0.467411151
171	0.4667723067
172	0.4659911916
173	0.4652916365
174	0.4646177672
175	0.4637800559
176	0.4634140319
177	0.4629604229
178	0.4624349137
179	0.4619309814
180	0.461433113
181	0.4607232864
182	0.4599364531
183	0.4596208369
184	0.4590138236
185	0.4583873045
186	0.4578514247
187	0.4571033561
188	0.4566824951
189	0.4560194851
190	0.4555101229
191	0.4550199676
192	0.4546190568
193	0.4540696099
194	0.4534821148
195	0.4528651825
196	0.4524071655
197	0.4518518942
198	0.4513324041
199	0.4508367141
200	0.4504574824
201	0.4499089024
202	0.4493485693
203	0.4487886783
204	0.4484872545
205	0.4479765619
206	0.4476658309
207	0.4472817314
208	0.4467819952
209	0.4461713757
210	0.445623449
211	0.4450024939
212	0.4442719048
213	0.4441845453
214	0.443642541
215	0.4431177773
216	0.4424985548
217	0.442196169
218	0.4418352614
219	0.4413992833
220	0.4405826575
221	0.4402354324
222	0.4398665101
223	0.4395817134
224	0.4392338762
225	0.438772361
226	0.4383744568
227	0.4378728056
228	0.437246753
229	0.4366462844
230	0.4363276601
231	0.4357285835
232	0.4352653495
233	0.4347960564
